4,34,43,28
40,60,79,12
4,46,61,28
46,79,86,19
28,49,57,9
15,36,54,27
52,61,67,28
5,56,59,29
6,12,51,30
42,45,87,30
44,64,85,13
16,19,84,12
17,32,60,17
11,32,76,4
24,39,45,24
17,46,74,10
46,74,79,19
19,22,26,19
19,25,64,31
16,44,60,40
2,59,68,26
9,37,40,9
17,33,61,41
2,8,29,26
42,59,74,23
33,42,61,18
47,52,67,16
21,41,74,14
12,45,53,5
24,27,43,24
9,29,74,14
17,72,81,5
26,65,80,26
4,46,73,28
67,82,87,3
23,80,86,35
15,18,81,27
3,59,79,39
10,76,85,34
29,34,85,22
41,44,86,29
12,39,66,24
17,38,56,29
9,15,78,33
1,8,29,1
37,40,56,13
15,30,82,15
2,18,46,38
11,18,75,11
23,32,63,20
18,24,45,30
3,7,22,3
15,54,57,27
7,51,58,3
17,37,44,1
18,23,26,23
11,62,77,35
28,69,84,21
15,48,79,24
35,44,52,4
4,19,71,16
41,57,73,41
8,59,64,4
21,48,75,33
21,66,86,2
22,26,42,46
8,16,71,4
59,62,78,23
62,78,82,38
38,47,67,7
6,21,50,2
66,74,83,23
16,25,46,28
31,39,71,43
63,72,80,8
33,51,84,33
3,6,58,15
1,52,58,25
57,60,75,33
14,79,82,19
27,59,67,39
16,55,82,28
11,14,41,35
20,76,84,44
14,17,35,26
5,25,33,41
16,68,71,4
27,48,69,27
47,51,78,11
24,32,76,36
19,26,35,7
29,49,82,22
14,23,65,26
9,38,54,2
58,61,78,6
14,70,79,19
40,80,85,13
41,60,68,17
40,47,80,4
18,21,27,30
76,80,85,13
2,20,29,26
28,46,79,28
1,28,55,25
5,33,60,5
15,68,72,8
8,11,63,20
24,64,69,21
30,57,61,18
22,40,79,34
40,55,85,28
1,8,41,1
5,14,57,14
10,14,29,10
1,31,70,25
18,37,81,18
16,24,55,12
8,35,39,20
2,65,80,26
7,25,76,31
11,55,64,16
32,50,71,32
17,26,56,29
47,63,68,20
28,46,49,28
59,63,79,47
9,16,72,21
2,11,20,26
14,80,83,26
48,63,66,24
45,54,73,18
66,82,86,42
38,41,57,14
28,33,49,9
17,61,70,22
18,24,39,30
29,50,68,29
12,15,45,24
41,69,85,41
62,65,83,26
18,39,71,11
4,68,73,13
48,53,56,17
12,17,32,17
26,29,33,14
15,46,54,15
34,74,77,10
5,50,57,14
55,63,72,24
16,57,84,21
19,39,46,3
22,49,67,34
30,82,87,15
29,58,86,10
8,23,65,32
28,48,81,21
22,29,49,22
51,78,82,15
2,47,56,26
40,55,83,16
11,29,68,35
11,51,68,20
1,58,79,25
23,38,55,7
24,45,54,24
11,44,50,35
21,28,84,21
17,81,85,41
24,53,69,5
41,61,82,22
22,26,43,19
79,83,87,43
34,49,66,6
35,65,80,35
29,32,49,1
48,56,77,17
15,60,78,27
25,52,55,25
39,67,82,3
16,47,67,16
12,65,68,17
28,67,84,12
35,62,77,35
29,58,73,22
5,26,83,29
30,39,47,11
4,13,68,13
7,11,87,43
6,14,34,42
3,18,70,15
10,55,73,34
40,67,82,28
31,40,70,31
27,42,46,15
12,27,67,24
35,68,77,35
7,16,46,31
11,38,44,35
27,43,72,24
6,14,70,42
43,63,84,24
46,73,77,22
14,79,83,7
12,33,51,24
42,61,82,6
38,46,66,38
23,42,75,11
50,58,77,10
7,22,51,3
42,57,85,18
22,54,86,46
41,74,82,10
31,58,63,3
42,48,75,30
7,10,52,31
3,12,21,27
46,65,74,10
16,25,43,28
34,52,61,34
57,78,86,2
29,36,69,5
21,41,72,5
4,31,58,28
1,16,82,25
26,44,77,26
25,53,69,37
5,56,62,29
53,68,86,29
43,58,75,3
23,51,68,20
5,38,59,29
5,12,68,17
5,20,72,17
28,48,68,40
48,55,63,24
68,71,86,32
36,41,56,17
12,55,75,24
1,44,65,1
6,70,75,15
5,13,32,1
15,33,42,27
15,69,72,27
5,20,84,17
24,39,81,24
11,44,64,4
4,71,80,4
15,35,79,39
16,43,46,28
44,71,87,20
34,37,40,34
38,47,78,23
11,15,55,47
5,49,68,1
15,30,46,15
11,20,76,4
45,52,61,9
16,19,82,28
60,78,87,24
13,16,32,13
50,59,77,26
23,54,62,23
1,16,55,25
18,25,34,6
29,83,86,29
12,45,65,5
54,69,74,2
4,59,67,16
20,36,63,8
17,61,69,41
2,44,47,26
38,57,77,14
30,57,85,18
8,16,49,13
21,30,72,33
17,59,74,29
28,32,37,13
19,64,72,12
5,13,20,1
17,68,84,17
27,32,71,20
33,41,62,14
9,62,66,2
54,81,87,30
1,5,80,1
26,30,83,23
9,12,52,21
20,35,86,32
21,65,84,5
33,51,60,33
23,44,53,35
37,77,82,22
15,23,66,11
32,39,71,20
5,20,71,29
5,74,81,14
69,74,78,2
13,64,67,25
12,20,27,8
10,28,73,34
52,79,82,28
17,57,74,14
42,46,51,15
1,22,64,25
12,15,18,24
9,72,78,33
1,4,34,25
24,44,65,17
13,17,68,1
4,37,43,28
3,6,81,27
15,22,54,15
27,55,59,39
13,19,40,25
9,14,18,2
1,44,77,1
33,78,86,2
8,26,53,32
5,13,68,1
63,66,84,27
4,13,44,13
36,52,67,12
31,72,76,12
9,24,77,5
19,82,85,31
34,63,67,3
51,57,78,27
50,79,82,19
5,14,44,29
12,66,75,24
25,64,69,9
40,43,71,16
25,28,45,9
42,70,85,6
19,23,51,43
10,38,43,19
18,35,39,11
11,14,42,23
17,20,36,17
47,62,68,35
4,7,61,28
2,77,80,26
4,22,31,28
5,44,74,29
5,60,69,5
33,37,40,9
28,60,69,21
11,43,74,7
31,37,58,31
37,44,65,1
50,77,82,10
15,60,80,8
22,26,79,19
13,21,78,18
41,45,85,41
51,54,70,15
12,15,78,24
33,36,87,33
15,32,83,20
52,55,85,28
20,63,72,8
30,38,69,2
32,39,48,8
36,42,57,24
6,10,26,42
39,46,67,3
4,35,80,4
9,29,36,5
14,18,45,2
32,61,76,13
1,52,70,25
18,69,87,30
36,51,55,24
28,31,84,12
11,56,62,35
24,28,80,36
3,54,72,27
8,16,59,4
16,20,23,4
17,24,45,5
32,47,74,32
18,26,35,23
43,75,82,3
42,49,58,6
27,66,81,27
16,73,82,28
4,32,59,4
26,58,65,10
22,28,37,34
34,75,79,3
29,45,60,5
6,38,45,2
3,9,84,27
1,31,64,25
19,22,38,19
57,60,66,33
6,50,69,2
44,51,84,8
7,11,75,43
61,77,82,22
5,49,57,41
10,31,38,19
6,69,87,30
55,63,82,3
21,29,60,5
9,14,30,2
5,8,36,17
22,66,86,46
32,59,65,32
3,21,36,27
16,48,56,40
12,51,68,8
58,67,73,34
29,69,74,14
19,22,62,19
30,50,82,42
5,56,71,29
8,23,76,4
8,24,63,8
9,12,42,33
45,60,75,33
8,83,87,20
17,32,48,17
11,27,31,47
18,45,60,30
12,63,69,24
4,8,72,40
4,10,19,28
35,38,42,23
56,64,73,13
51,78,83,11
28,48,79,12
12,45,52,21
9,29,48,5
3,42,60,27
68,74,77,32
32,38,83,32
20,37,77,1
15,59,78,11
34,61,66,6
10,13,31,34
42,45,49,18
12,27,31,24
44,60,75,8
7,38,47,7
27,70,79,3
2,18,69,2
5,38,44,29
6,25,33,18
27,33,48,27
33,76,84,21
40,45,48,21
1,65,68,1
65,69,73,41
10,64,73,34
23,26,80,35
17,44,72,17
51,55,82,3
12,75,81,24
50,77,83,26
41,49,68,1
21,72,87,33
25,53,81,37
67,70,85,31
21,38,66,2
6,36,87,30
17,46,62,10
9,15,60,33
66,75,84,30
10,19,74,19
50,65,81,14
24,75,79,24
50,71,77,26
46,62,66,46
67,74,83,7
38,67,70,19
30,57,86,2
23,56,63,20
7,73,76,31
19,72,76,12
12,21,42,24
14,18,59,23
3,18,48,27
33,41,74,14
31,39,46,3
11,26,66,23
37,46,65,22
14,53,70,10
30,36,69,30
18,22,39,15
61,64,70,25
22,67,76,34
28,35,67,16
14,43,46,19
30,37,81,18
36,63,67,24
20,41,61,1
51,54,60,27
30,39,45,30
45,52,72,21
54,72,81,30
21,37,65,45
37,78,81,18
27,66,82,15
3,10,30,15
56,61,76,13
2,33,77,14
39,54,81,27
29,37,81,41
28,32,73,13
8,26,83,32
3,9,24,27
38,57,66,2
35,55,63,47
26,30,45,2
27,69,78,27
13,34,40,25
11,28,55,16
31,52,60,12
28,37,56,13
26,34,79,19
42,69,87,30
14,41,71,26
20,24,40,44
20,77,83,32
41,57,62,14
7,35,62,7
21,36,76,21
23,31,74,7
19,46,85,31
13,58,77,22
7,10,40,31
53,59,80,29
14,41,57,14
24,57,63,24
16,34,73,28
12,56,87,8
44,65,72,17
27,69,72,27
15,58,67,3
7,11,38,7
38,54,83,23
19,22,28,31
75,78,84,27
22,38,43,19
45,54,86,2
4,7,70,28
4,20,36,40
29,32,83,29
29,60,80,17
21,72,78,33
16,33,85,9
5,59,86,29
54,59,87,11
2,30,46,38
8,39,84,8
48,69,76,21
51,54,58,15
20,41,59,32
65,74,81,14
1,29,69,37
18,61,69,18
21,36,64,21
51,66,81,27
35,76,79,16
36,65,69,5
14,29,69,14
3,46,67,3
40,45,84,21
40,56,71,4
34,41,85,22
20,24,52,44
5,37,80,1
24,27,45,24
23,63,78,11
12,19,63,24
9,30,49,18
7,46,75,3
1,43,82,25
4,61,68,13
21,29,38,14
7,26,59,7
43,59,86,7
18,25,70,6
16,21,25,9
36,43,51,24
28,34,67,28
5,26,57,14
8,17,84,17
18,61,82,6
12,29,32,17
31,71,87,43
37,45,65,37
33,48,77,5
27,30,36,27
24,30,45,24
25,31,64,25
6,10,61,6
12,42,45,24
32,49,52,13
40,47,68,4
11,28,56,4
41,48,68,17
55,63,84,24
32,76,84,44
26,31,71,7
1,55,58,25
14,43,71,7
11,19,52,16
6,15,81,30
55,70,75,3
8,35,52,4
42,50,69,2
37,40,58,25
26,78,83,23
16,49,55,28
16,35,43,16
34,39,43,3
12,43,87,24
13,16,70,25
37,41,57,37
52,55,59,16
25,67,76,25
5,25,69,41
